stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0172,,"S. 3rd St. & S. 2nd Ave.",,  30.286390, -81.391565,,,0,
0173,,"S. 3rd St. & S. 1st. Ave.",,  30.286900, -81.391300,,,0,
0180,,"N. 3rd St. & N. 1st. Ave.",,  30.289866, -81.391940,,,0,
0182,,"N. 3rd St. & N. 2nd Ave.",,  30.291080, -81.392450,,,0,
0184,,"N. 3rd St. & N. 4th Ave.",,  30.292660, -81.392476,,,0,
0185,,"N. 3rd St. & N. 4th Ave.",,  30.292939, -81.392933,,,0,
0186,,"N. 3rd St. & N. 6th Ave.",,  30.294490, -81.392920,,,0,
0187,,"N. 3rd St. & N. 6th Ave.",,  30.294853, -81.393268,,,0,
0188,,"N. 3rd St. & N. 9th Ave.",,  30.297290, -81.393520,,,0,
0189,,"N. 3rd St. & N. 9th Ave.",,  30.297610, -81.393770,,,0,
0191,,"N. 3rd St. & N. 11th Ave.",,  30.299480, -81.394150,,,0,
0192,,"N. 3rd St. & N. 13th Ave.",,  30.301080, -81.394270,,,0,
0193,,"N. 3rd St. & N. 13th Ave.",,  30.301330, -81.394540,,,0,
0194,,"N. 3rd St. & N. 15th Ave.",,  30.302870, -81.394630,,,0,
0196,,"N. 3rd St. & N. 16th Ave.",,  30.303810, -81.394810,,,0,
0197,,"N. 3rd St. & N. 16th Ave.",,  30.304190, -81.395120,,,0,
0198,,"N. 3rd St. & N. 18th Ave.",,  30.305700, -81.395210,,,0,
0199,,"N. 3rd St. & N. 20th Ave.",,  30.307529, -81.395534,,,0,
0200,,"3rd St. & N. 18th Ave.",,  30.306040, -81.395480,,,0,
0201,,"3rd St. & Seagate Ave.",,  30.308010, -81.395870,,,0,
0202,,"3rd St. & Myra St.",,  30.310040, -81.396300,,,0,
0203,,"3rd St. & Davis St.",,  30.312310, -81.396620,,,0,
0204,,"N. 3rd St. & Myra St.",,  30.309690, -81.396050,,,0,
0205,,"N. 3rd St. & Davis St.",,  30.312370, -81.396430,,,0,
0206,,"N. 3rd St. & Florida St.",,  30.314150, -81.396690,,,0,
0207,,"N. 3rd St. & Bay St.",,  30.316500, -81.397020,,,0,
0208,,"3rd St. & Bay St.",,  30.316810, -81.397260,,,0,
0209,,"3rd St. & Florida Blvd.",,  30.314630, -81.396950,,,0,
0210,,"3rd St. & Cedar St.",,  30.319010, -81.397330,,,0,
0211,,"3rd St. & Cedar St.",,  30.319330, -81.397610,,,0,
0212,,"3rd St. & Orange St.",,  30.322450, -81.397820,,,0,
0213,,"3rd St. & Walnut St.",,  30.320750, -81.397570,,,0,
0214,,"3rd St. & Walnut St.",,  30.321060, -81.397850,,,0,
0215,,"3rd St. & Lemon St.",,  30.323600, -81.398210,,,0,
0216,,"500 Atlantic Blvd.",,  30.324413, -81.399787,,,0,
0219,,"Atlantic Blvd. & OPP Seminole Rd.",,  30.324296, -81.406199,,,0,
0221,,"Atlantic Blvd. & Royal Palms Dr.",,  30.324648, -81.409056,,,0,
0222,,"14351 Wonderwood Dr.",,  30.358480, -81.464168,,,0,
0223,,"14360 Wonderwood Dr.",,  30.358034, -81.463238,,,0,
0224,,"Mt. Pleasant Rd. & Gately Rd.",,  30.358570, -81.472730,,,0,
0225,,"Mt. Pleasant Rd. & W Pleasant Point Ln.",,  30.358860, -81.472340,,,0,
0226,,"McCormick Rd. & Long Leaf Pine Wy.",,  30.358960, -81.479620,,,0,
0227,,"McCormick Rd. & McCormick Woods Dr.",,  30.359290, -81.481610,,,0,
0228,,"McCormick Rd. & Kernan Blvd.",,  30.359748, -81.489742,,,0,
0229,,"McCormick Rd. & Kernan Blvd.",,  30.359390, -81.488720,,,0,
0230,,"12195 McCormick Rd.",,  30.360053, -81.494659,,,0,
0231,,"12230 McCormick Rd.",,  30.359620, -81.493740,,,0,
0232,,"McCormick Rd. & Monument Rd. ns",,  30.360285, -81.499852,,,0,
0233,,"12034 McCormick Rd.",,  30.359900, -81.498860,,,0,
0234,,"11717 McCormick Rd.",,  30.360060, -81.507900,,,0,
0235,,"2489 Monument Rd.",,  30.358540, -81.503000,,,0,
0236,,"1937 Monument Rd.",,  30.353680, -81.507870,,,0,
0237,,"McCormick Rd. & Links Terr.",,  30.360461, -81.505708,,,0,
0238,,"Monument Rd. & Derringer Rd.",,  30.351940, -81.512200,,,0,
0239,,"Monument Rd. & Ft. Caroline Lakes Ct.",,  30.352940, -81.509580,,,0,
0240,,"Monument Rd. & Monument Oaks Dr.",,  30.350560, -81.515880,,,0,
0241,,"Monument Rd. Park-n-Ride Lot",,  30.349390, -81.519100,,,0,
0242,,"McCormick Rd. & Deeringer Cir.",,  30.358535, -81.513055,,,0,
0243,,"1505 Monument Rd.",,  30.346639, -81.526330,,,0,
0244,,"1500 Monument Rd.",,  30.347162, -81.525961,,,0,
0261,,"Monument Rd. & Classic Oak Rd. W.",,  30.344206, -81.534224,,,0,
0263,,"Monument Rd. & Lee Rd.",,  30.343015, -81.537194,,,0,
0264,,"Monument Rd. & Lee Rd.",,  30.342865, -81.536143,,,0,
0265,,"Monument Rd. & Brookwood Forest Blvd.",,  30.343610, -81.534440,,,0,
0268,,"Atlantic Blvd. & Cocoanut Rd.",,  30.321410, -81.447150,,,0,
0269,,"Atlantic Blvd. & San Pablo Rd.",,  30.320790, -81.449810,,,0,
0270,,"13475 Atlantic Blvd.",,  30.321710, -81.447240,,,0,
0271,,"Atlantic Blvd. & Hodges Blvd.",,  30.320160, -81.457930,,,0,
0272,,"Atlantic Blvd. & Joeandy Rd.",,  30.320370, -81.459630,,,0,
0273,,"Atlantic Blvd. & Deer Run Trail",,  30.318403, -81.472013,,,0,
0274,,"Atlantic Blvd. & The Woods Dr.",,  30.319850, -81.466460,,,0,
0275,,"Atlantic Blvd. & The Woods Dr.",,  30.319510, -81.466740,,,0,
0276,,"Atlantic Blvd. & Girvin Rd.",,  30.318100, -81.474020,,,0,
0277,,"Atlantic Blvd. & Kensington Gardens Blvd.",,  30.318023, -81.481096,,,0,
0278,,"Altantic Blvd. & Hickory Creek Blvd.",,  30.318520, -81.481930,,,0,
0279,,"12338 Atlantic Blvd.",,  30.318590, -81.485160,,,0,
0280,,"Atlantic Blvd. & Kernan Blvd.",,  30.319080, -81.488630,,,0,
0281,,"Atlantic Blvd. & Kernan Blvd.",,  30.319960, -81.491060,,,0,
0282,,"Atlantic Blvd. & Withrow Dr.",,  30.321460, -81.496540,,,0,
0283,,"Atlantic Blvd. & Withrow Dr.",,  30.321320, -81.497310,,,0,
0284,,"Atlantic Blvd. & Sutton Lakes Blvd.",,  30.324223, -81.507136,,,0,
0285,,"Atlantic Blvd. & Sutton Lakes Blvd.",,  30.323980, -81.508000,,,0,
0286,,"11110 Atlantic Blvd.",,  30.324371, -81.512316,,,0,
0287,,"11145 Atlantic Blvd.",,  30.324680, -81.511820,,,0,
0288,,"Atlantic Blvd.  & Sandalwood Blvd.",,  30.324469, -81.516966,,,0,
0289,,"Atlantic Blvd. & Mindanao Dr.",,  30.324821, -81.518712,,,0,
0290,,"Atlantic Blvd. & St. Johns Bluff Rd.",,  30.324524, -81.524316,,,0,
0291,,"Atlantic Blvd. & St. Johns Bluff Rd.",,  30.324426, -81.521929,,,0,
0293,,"St. Johns Bluff Rd. & Theresa Dr.",,  30.321810, -81.523320,,,0,
0294,,"St. Johns Bluff Rd. & Bahia Dr.",,  30.321510, -81.523040,,,0,
0302,,"Beach Blvd. & San Pablo Rd.",,  30.287778, -81.436776,,,0,
0303,,"Beach Blvd. & San Pablo Rd.",,  30.288089, -81.439610,,,0,
0306,,"13924 Beach Blvd.",,  30.287656, -81.450017,,,0,
0309,,"Beach Blvd. & Suni Pines Blvd.",,  30.287891, -81.449622,,,0,
0315,,"Beach Blvd. & Hodges Blvd. ns eb",,  30.287520, -81.460920,,,0,
0316,,"Beach Blvd. & Hodges Blvd. fs wb",,  30.287765, -81.461039,,,0,
0319,,"Beach Blvd. & Kernan Blvd. ns",,  30.287496, -81.484822,,,0,
0320,,"Beach Blvd. & Kernan Blvd.",,  30.287235, -81.487378,,,0,
0322,,"3410 Kernan Blvd.",,  30.284076, -81.489923,,,0,
0324,,"3601 Kernan Blvd.",,  30.280369, -81.492005,,,0,
0325,,"Kernan Blvd. & The District at Kernan",,  30.281088, -81.492117,,,0,
0326,,"Kernan Blvd. & Gehrig Dr.",,  30.276718, -81.493505,,,0,
0327,,"Kernan Blvd. & Ash Harbor Dr.",,  30.274332, -81.494286,,,0,
0328,,"Kernan Blvd. & Mantle Dr.",,  30.274303, -81.494897,,,0,
0329,,"Kernan Blvd. & Apple Leaf Dr.",,  30.272592, -81.494487,,,0,
0331,,"Kernan Blvd. & Blue Stream Dr.",,  30.268808, -81.495333,,,0,
0332,,"Kernan Blvd. & Blue Stream Dr.",,  30.269138, -81.494823,,,0,
0333,,"Kernan Blvd. & First Coast Tech Pkwy.",,  30.265113, -81.495393,,,0,
0334,,"Kernan Blvd. & First Coast Technology Pkwy.",,  30.264604, -81.495761,,,0,
0335,,"Alumni Dr. & Kernan Blvd.",,  30.261524, -81.502068,,,0,
0337,,"Alumni Dr. & UNF Dr.",,  30.262540, -81.502950,,,0,
0338,,"UNF Dr. & Alumni Dr. ns",,  30.265450, -81.504543,,,0,
0341,,"1 UNF Dr.",,  30.272873, -81.508648,,,0,
0342,,"U.N.F.",,  30.268822, -81.509842,,,0,
0351,,"12387 Beach Blvd. wb",,  30.287471, -81.491636,,,0,
0353,,"Beach Blvd. & Sans Pareil St.",,  30.287418, -81.495174,,,0,
0354,,"Beach Blvd. & Pemberton Rd.",,  30.287108, -81.496026,,,0,
0357,,"12000 Beach Blvd.",,  30.287066, -81.501538,,,0,
0359,,"Beach Blvd. & Meadowbrook Blvd.",,  30.287339, -81.501770,,,0,
0360,,"Beach Blvd. & Central Pkwy.",,  30.286958, -81.509602,,,0,
0365,,"Beach Blvd. & Beachwood Ct. ns eb",,  30.286865, -81.516703,,,0,
0366,," Beach Blvd. & Beachwood Blvd. ns wb",,  30.287180, -81.515800,,,0,
0367,,"11655 Beach Blvd.",,  30.287155, -81.518995,,,0,
0386,,"2465 St. Johns Bluff Rd.",,  30.310680, -81.525230,,,0,
0388,,"St. Johns Bluff Rd. & Alden Rd.",,  30.304210, -81.525830,,,0,
0390,,"St. Johns Bluff Rd. & Fraser Rd.",,  30.304650, -81.526090,,,0,
0391,,"St. Johns Bluff Rd. & Lost Pine Dr.",,  30.308970, -81.525810,,,0,
0392,,"St. Johns Bluff Rd. & Bradley Rd.",,  30.313080, -81.525430,,,0,
